,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
10,"SELECT DISTINCT (COUNT(?v1) AS ?v2) WHERE {
  wd:Q765165 p:P39 ?v3.
  ?v3 ps:P39 wd:Q1048744;
    pq:P580 ?v4.
  ?v1 p:P39 ?v5.
  ?v5 ps:P39 wd:Q1048744;
    pq:P580 ?v6.
  FILTER(?v6 < ?v4)
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri p:P39 ?statement.
  ?statement ps:P39 wd:Q1048744;
    pq:P580 ?date.
  FILTER(?date < ""1964-10-14T00:00:00Z"")
}",2,0,1,,,1,,,,,,,,1
11,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 p:P39 ?v3.
  ?v3 ps:P39 wd:Q218295;
    pq:P580 ?v4.
  FILTER((YEAR(?v4)) > 1990 )
}","SELECT (COUNT(?pres) AS ?numPres) WHERE {
  ?pres wdt:P39 wd:Q218295.
  ?statement wdt:P580 ?date.
  ?pres wdt:P39 ?statement.
  FILTER(?date >= ""1990-01-01T00:00:00Z""^^xsd:dateTime)
}",3,0,1,,,,,,,,,,,0
12,"ASK {
  wd:Q350568 p:P1344 ?v1.
  ?v1 ps:P1344 ?v2.
  ?v2 (wdt:P361*) wd:Q181278.
  ?v1 pq:P1352 ?v3.
  FILTER(?v3 <= 3 )
}",@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Adam_Ondra> ns1:medalWinningCompetition <http://dbpedia.org/resource/2020_Summer_Olympics> .  SELECT ?uri WHERE {    ?uri <http://dbpedia.org/property/medalWinningCompetition> <http://dbpedia.org/resource/2020_Summer_Olympics> .    <http://dbpedia.org/resource/Adam_Ondra>,false ,,FALSE,1,,,1,,,,1,,,3
13,"ASK {
  {
    SELECT (COUNT(?v1) AS ?v2) WHERE {
      ?v1 wdt:P3450 wd:Q155223;
        wdt:P1346 wd:Q128109.
    }
  }
  FILTER(?v2 >= 2 )
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Chicago_Bulls> ns1:leagueChampion ?n .  SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Chicago_Bulls> <http://dbpedia.org/ontology/leagueChampion> ?n FILTER (?n >= 2) },true ,,FALSE,1,,,1,,,,1,,,3
14,"ASK { 
  wd:Q37922 wdt:P1346 wd:Q134798. 
}",SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P1346> <http://www.wikidata.org/entity/Q134798> ; <http://www.wikidata.org/entity/Q37922> . },false ,,FALSE,1,,,,,,1,,,,2
15,"ASK WHERE {
  wd:Q25369 p:P54 ?v1.
  ?v1 ps:P54 wd:Q121783;
    pq:P582 ?v2.
  wd:Q36159 p:P54 ?v3.
  ?v3 ps:P54 wd:Q121783;
    pq:P580 ?v4.
  FILTER(?v2 = ?v4)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Kobe_Bryant> ns1:team <http://dbpedia.org/resource/Los_Angeles_Lakers> ; ns1:activeYearsEndYear 2016 .  <http://dbpedia.org/resource/LeBron_James> ns1:team <http://dbpedia.org/resource/Los_Angeles_Lakers> ; ns1:activeYearsStartYear 2018 .  SELECT ?endYear WHERE {,false ,,FALSE,1,,,1,,,,1,,,3
16,"ASK WHERE {
  wd:Q58815001 wdt:P57 ?v1.
  wd:Q44578 wdt:P57 ?v1.
  FILTER(wd:Q2745616 = ?v1)
}",SELECT ?director WHERE { http://www.wikidata.org/entity/Q44578 http://www.wikidata.org/prop/direct/P57 ?director . http://www.wikidata.org/entity/Q58815001 http://www.wikidata.org/prop/direct/P57 ?director . },false ,,FALSE,1,,,,,1,,,,,2
17,"ASK WHERE { 
  wd:Q641 (p:P17/ps:P17) wd:Q131964. 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Venice> ns1:belongsTo ?uri .  SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Venice> <http://dbpedia.org/ontology/belongsTo> ?uri . FILTER regex(?uri, ""Austrian Empire"") }",true ,,FALSE,1,1,,,,,,1,,,3
18,"ASK {
  wd:Q860580 wdt:P112 ?v1.
  ?v1 wdt:P69 ?v2.
  wd:Q860580 wdt:P112 ?v3.
  ?v3 wdt:P69 ?v2.
  FILTER(?v1 != ?v3)
}",SELECT ?founder1 ?founder2 WHERE {    ?founder1 <http://www.wikidata.org/prop/direct/P112> <http://www.wikidata.org/entity/Q860580> .    ?founder2 <http://www.wikidata.org/prop/direct/P112> <http://www.wikidata.org/entity/Q860580> .    ?founder1 <http://www.wikidata.org/prop/direct/P69> ?university .,true ,,FALSE,1,,,1,,,,,,,2
19,"ASK {
  {
    SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
      wd:Q2695156 wdt:P451 ?v1.
      ?v1 wdt:P103 ?v3.
      MINUS { ?v3 (wdt:P279*) wd:Q1860. }
    }
  }
  FILTER(?v2 = 0 )
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Batman> ns1:partner ?uri .  ?uri ns1:nativeLanguage <http://dbpedia.org/resource/English_language> .  SELECT ?uri WHERE {    <http://dbpedia.org/resource/Batman> ns1:partner ?uri .    ?uri ns1:nativeLanguage <http://dbpedia.org/resource/English_language> . },false ,,FALSE,1,,,,,,,1,,,2
20,"SELECT (AVG(?v1) AS ?v2) WHERE {
  {
    SELECT (COUNT(DISTINCT ?v3) AS ?v1) WHERE {
      ?v4 wdt:P31 wd:Q6256;
        (p:P35/ps:P35) ?v5.
      OPTIONAL { ?v5 wdt:P26 ?v3. }
    }
    GROUP BY ?v5
  }
}",@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Head_of_state> a <http://dbpedia.org/ontology/OfficeHolder> ;     ns1:spouse ?spouse .  SELECT (AVG(?spouse) AS ?averageSpouses) WHERE {    ?headOfState a <http://dbpedia.org/ontology/OfficeHolder> ;                ns1:spouse ?spouse . },0.82527301092043681747,,FALSE,,1,,,,,,1,,,2
21,"ASK {
  wd:Q155810 wdt:P793 ?v1.
  ?v1 wdt:P31 wd:Q108886259.
}","SELECT ?event WHERE {
  ?event wdt:P793 wd:Q7998;
    wdt:P31 wd:Q108886259.
}",true ,-,1,1,,,,,,,,,,1
22,"SELECT ?v1 WHERE {
  ?v1 wikibase:lexicalCategory wd:Q24905;
    (dct:language/wdt:P218) ""tr"";
    wikibase:lemma ?v2.
  FILTER(REGEX(?v2, ""uş$""))
}","SELECT ?v1 WHERE { ?v1 <http://wikiba.se/ontology#lemma> ?v2 . ?v2 bif:ends_with ""uş"" . ?v1 <http://wikiba.se/ontology#lexicalCategory> <http://www.wikidata.org/entity/Q24905> . }",wd:L30607,,FALSE,,1,,,,,,1,,,2
23,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q21102 wdt:P495 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q21102 http://www.wikidata.org/prop/direct/P495 ?result },wd:Q145,,FALSE,,,,,,1,,,,,1
24,"SELECT ?v1 WHERE {
  ?v2 wdt:P166 wd:Q123737;
    wdt:P27 ?v1.
}
GROUP BY ?v1
ORDER BY DESC (COUNT(?v1))
OFFSET 1
LIMIT 1",SELECT ?country WHERE {    ?person <http://www.wikidata.org/prop/direct/P166> <http://www.wikidata.org/entity/Q123737> .    ?person <http://www.wikidata.org/prop/direct/P27> ?country .    {      SELECT (COUNT(?person) AS ?count) WHERE {        ?person <http://www.wikidata.org/prop/direct/P166> <http://www.wikidata.,wd:Q145,,FALSE,,1,,1,,,,,,,2
25,"ASK { 
  wd:Q3846 wdt:P281 ""32423"". 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Helloween> ns1:genre <http://dbpedia.org/resource/Heavy_metal_music> .  <http://dbpedia.org/resource/Heavy_metal_music> ns1:subgenre <http://dbpedia.org/resource/Rock_music> .  SELECT ?v1 WHERE { <http://dbpedia.org/resource/Helloween> ns1:genre ?v1 . ?v1 ns1,true ,,FALSE,1,,,1,,,,1,,,3
26,"ASK { 
  wd:Q3846 wdt:P281 ""32423"". 
}","SELECT ?uri WHERE {
  ?uri wdt:P281 ""32423"";
    wd:Q3846 ?minden.
}",true ,-,1,1,,1,,,,,,,,2
27,"ASK {
  wd:Q350568 p:P1344 ?v1.
  ?v1 (ps:P1344/(wdt:P3450*)) wd:Q1774251.
  { ?v1 pq:P1352 ?v2. }
  UNION
  { ?v1 pq:P166 ?v3. }
  FILTER((?v2 = 1 ) || (SAMETERM(?v3, wd:Q406039)))
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Adam_Ondra> a ns1:Person ;      ns1:award <http://dbpedia.org/resource/IFSC_Climbing_World_Cup> .   SELECT ?award WHERE {    <http://dbpedia.org/resource/Adam_Ondra> <http://dbpedia.org/ontology/award> ?award .    ?award <http://www,false ,,FALSE,1,1,,1,,,,1,,,4
28,"ASK {
  wd:Q794 p:P2250 ?v1.
  ?v1 pq:P585 ?v2;
    ps:P2250 ?v3.
  wd:Q794 p:P2250 ?v4.
  ?v4 pq:P585 ?v5;
    ps:P2250 ?v6.
  FILTER((((YEAR(?v2)) = 1999 ) && ((YEAR(?v5)) > (YEAR(?v2)))) && (?v6 > ?v3))
}",http://www.wikidata.org/entity/statement/Q794-C993A3A7-A3CF-45B3-A92B-E10E76811846 http://www.wikidata.org/prop/statement/P2250 70.8 . http://www.wikidata.org/entity/Q794 http://www.wikidata.org/prop/P2250 http://www.wikidata.org/entity/statement/Q794-1C0F6F56-8EC5-454E-99E4-,true ,,FALSE,1,,,,1,1,,,,,3
29,"ASK {
  wd:Q42053 p:P1082 ?v1.
  ?v1 pq:P585 ?v2;
    ps:P1082 ?v3.
  wd:Q42053 p:P1082 ?v4.
  ?v4 pq:P585 ?v5;
    ps:P1082 ?v6.
  FILTER((((YEAR(?v2)) = 2006 ) && ((YEAR(?v5)) > (YEAR(?v2)))) && (?v6 > ?v3))
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Isfahan> ns1:populationTotal ?population .  SELECT ?population WHERE {    <http://dbpedia.org/resource/Isfahan> <http://dbpedia.org/ontology/populationTotal> ?population .   FILTER (?population > 2006) },false ,,FALSE,1,,,,,,,1,,,2
30,"ASK { 
  wd:Q164815 wdt:P710 wd:Q190076. 
}","SELECT ?JoeCocker WHERE {
  wd:Q164815 wdt:P710 wd:Q190076.
  ?JoeCocker wdt:P710 wd:Q190076.
}",true ,"wd:Q164815
 wd:Q10537330
 wd:Q20107256
 wd:Q99199366
 wd:Q99321521
 wd:Q99322137
 wd:Q99341192",1,1,,1,,,,,,,,2
31,"ASK { 
  wd:Q66432 (wdt:P1344/wdt:P31) wd:Q33881. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Udo_Bölts> ns1:participantIn <http://dbpedia.org/resource/Tour_de_France> .  SELECT ?v1 WHERE { ?v1 <http://dbpedia.org/ontology/participantIn> <http://dbpedia.org/resource/Tour_de_France> .  FILTER (?v1 = <http://dbpedia.org/resource/Udo_Bö,true ,,FALSE,1,1,,1,,,,1,,,4
32,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q189307 wdt:P3373 ?v1.
  ?v1 wdt:P21 wd:Q6581097.
  FILTER(NOT EXISTS { ?v1 wdt:P570 ?v3. })
}","SELECT (COUNT(?brother) AS ?numBrothers) WHERE {
  ?brother wdt:P21 wd:Q6581097.
  wd:Q189307 wdt:P3373 ?brother.
}",5,7,1,,1,,,,,,,,,1
33,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q23434 wdt:P1196 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q23434 http://www.wikidata.org/prop/direct/P1196 ?result . },wd:Q10737,,FALSE,,,,,,1,,,,,1
34,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q170022 (wdt:P1830/wdt:P452) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/House_of_Medici> ns1:industry ?v1 .  SELECT ?v1 WHERE { <http://dbpedia.org/resource/House_of_Medici> <http://dbpedia.org/ontology/industry> ?v1 },wd:Q837171,,FALSE,,1,,,,,,1,,,2
35,"SELECT ?v1 WHERE { 
  wd:Q4176 wdt:P2048 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q4176 http://www.wikidata.org/prop/direct/P2048 ?result },157,,FALSE,,,,,,1,,,,,1
36,"SELECT DISTINCT ?v1 WHERE {
  wd:Q4186 rdfs:label ?v1.
  FILTER(LANGMATCHES(LANG(?v1), ""zh-cn""))
}","SELECT DISTINCT ?result WHERE { http://www.wikidata.org/entity/Q4186 <http://www.w3.org/2000/01/rdf-schema#label> ?result . FILTER(langMatches(lang(?result), ""zh"")) }",哈茨山,,FALSE,,,,,,1,,,,,1
37,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q644371;
    (wdt:P131*) wd:Q1055.
}","SELECT (COUNT(?airport) AS ?count) WHERE {
  ?airport wdt:P31 wd:Q644371;
    wdt:P131 wd:Q1055.
}",1,0,1,,1,,,,,,,,,1
38,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q482994;
    wdt:P175 wd:Q41076.
}","SELECT (COUNT(?album) AS ?count) WHERE {    ?album wdt:P31 wd:Q482994 .    ?album wdt:P175 wd:Q41076 .    ?album wdt:P175 wd:Q769475, wd:Q846776, wd:Q18277464, wd:Q731601, wd:Q374724, wd:Q570912, wd:Q48774355, wd:Q388007, wd",39,,FALSE,,,,1,,,,,,,1
39,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q25369 p:P166 ?v3.
  ?v3 ps:P166 wd:Q1465181;
    pq:P585 ?v1.
}","SELECT (COUNT(?year) AS ?numYears) WHERE {    ?statement <http://www.wikidata.org/prop/statement/P166> <http://www.wikidata.org/entity/Q1465181> .    ?statement <http://www.wikidata.org/prop/qualifier/P585> ?year .    FILTER (?year >= ""2000-01-01T00:00:00Z""^^xsd:dateTime && ?year <= ""2011-01-01T00:",9,,FALSE,,1,,1,,,,,,,2
40,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q25369 p:P166 ?v3.
  ?v3 ps:P166 wd:Q674359;
    pq:P585 ?v1.
  wd:Q169452 p:P166 ?v4.
  ?v4 ps:P166 wd:Q674359;
    pq:P585 ?v1.
}","SELECT (COUNT(?year) AS ?count) WHERE {
  ?shaq wdt:P166 wd:Q674359;
    pq:P585 ?year.
  ?kobe wdt:P166 wd:Q674359;
    pq:P585 ?year.
  FILTER(?shaq != ?kobe)
}",4,0,1,,1,1,,,,,,,,2
41,"ASK {
  wd:Q4963691 wdt:P108 ?v1;
    wdt:P69 ?v1.
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q3918.
}","SELECT ?university WHERE {
  wd:Q4963691 wdt:P69 ?university;
    wdt:P108 ?university.
}",true ,wd:Q332498,1,,1,,,,,,,,,1
42,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q312556 p:P26 ?v3.
  ?v3 ps:P26 ?v4.
  ?v1 wdt:P25 ?v4;
    wdt:P22 wd:Q312556.
  FILTER(EXISTS { ?v3 pq:P582 ?v5. })
}",SELECT (COUNT(?child) AS ?numChildren) WHERE {    ?exWife <http://www.wikidata.org/prop/direct/P26> <http://www.wikidata.org/entity/Q312556> .    ?child <http://www.wikidata.org/prop/direct/P22> ?exWife .    ?child <http://www.wikidata.org/prop/direct/P25> <http://www.wikidata.org/entity/Q10322797,4,,FALSE,,,,1,,,,,,,1
43,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q2599 p:P26 ?v3.
  ?v3 ps:P26 ?v4.
  ?v1 wdt:P25 ?v4;
    wdt:P22 wd:Q2599.
  FILTER((EXISTS { ?v3 pq:P582 ?v5. }) && (?v4 = wd:Q228899))
}","SELECT (COUNT(?child) AS ?numChildren) WHERE {
  ?exWife wdt:P26 wd:Q228899.
  ?child wdt:P25 ?exWife;
    wdt:P22 wd:Q2599.
}",4,0,1,,1,1,,,,,,,,2
44,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q1144286 wdt:P527 ?v1.
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q515.
}","SELECT (COUNT(?uri) AS ?count) WHERE { 
  ?uri wdt:P527 wd:Q1144286. 
}",3,0,1,,1,1,,,,,,,,2
45,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P112 wd:Q19837;
    (wdt:P31/(wdt:P279*)) wd:Q4830453.
}",SELECT (COUNT(?business) AS ?numBusinesses) WHERE {    ?business <http://www.wikidata.org/prop/direct/P112> <http://www.wikidata.org/entity/Q19837> .    { <http://www.wikidata.org/entity/Q312> <http://www.wikidata.org/prop/direct/P112> ?business }    UNION    { <http://www.wikidata.org/entity/Q308993> <http,2,,FALSE,,1,,1,,,,,,,2
46,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q6256;
    wdt:P8328 ?v3;
    wdt:P1622 wd:Q13196750.
  FILTER(?v3 > 7 )
}",SELECT (COUNT(?country) AS ?count) WHERE {    ?country <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q6256> .    ?country <http://www.wikidata.org/prop/direct/P8328> ?democracyIndex .    ?country <http://www.wikidata.org/prop/direct/P1622> <http://www.wikidata.org/entity/Q13196750> .,12,,FALSE,,,,1,,,,,,,1
47,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q6256.
  FILTER(NOT EXISTS { ?v1 (p:P463/ps:P463) wd:Q1065. })
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri wdt:P31 wd:Q6256.
  FILTER(NOT EXISTS { ?uri wdt:P1441 ?member. })
}",37,210,1,,1,,,,,,,,,1
48,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q6256;
    wdt:P30 wd:Q18.
}","SELECT (COUNT(?country) AS ?count) WHERE { 
  ?country wdt:P30 wd:Q18. 
}",12,578,1,,,1,,,,,,,,1
49,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v3 (wdt:P31/(wdt:P279*)) wd:Q8502;
    (p:P2044/psn:P2044/wikibase:quantityAmount) ?v4;
    wdt:P17 ?v1.
  FILTER(?v4 > 2000 )
}","SELECT (COUNT(DISTINCT ?country) AS ?count) WHERE {
  ?mountain wdt:P17 ?country;
    wdt:P2044 ?elevation.
  FILTER(?elevation > 2000 )
}",134,176,1,,1,1,,,,,,,,2
50,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q30170627;
    wdt:P1441 wd:Q23572.
}","SELECT (COUNT(?uri) AS ?count) WHERE { 
  ?uri wdt:P1441 wd:Q23572. 
}",5,174,1,,1,1,,,,,,,,2
51,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q23572 wdt:P166 ?v1.
  ?v1 (wdt:P361/wdt:P279) wd:Q123737.
}","SELECT (COUNT(?award) AS ?count) WHERE {    <http://www.wikidata.org/entity/Q23572> <http://www.wikidata.org/prop/direct/P166> ?award .    FILTER (?award IN ( <http://www.wikidata.org/entity/Q7243505>, <http://www.wikidata.org/entity/Q7243513>, <http://www.wikidata.org/entity/Q989438>, <http",5,,FALSE,,,,1,,,,,,,1
52,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q92582 wdt:P4969 ?v1.
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q11424.
}","SELECT (COUNT(?film) AS ?count) WHERE { 
  ?film wdt:P4969 wd:Q92582. 
}",5,0,1,,1,1,,,,,,,,2
53,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q9682 (p:P735/ps:P735) ?v1. 
}","@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Elizabeth_II> a <http://dbpedia.org/class/yago/WikicatMonarchsOfTheUnitedKingdom> ;     ns1:givenName ""Elizabeth"" , ""Lilibet"" , ""Lillibet"" .   SELECT (COUNT(?givenName) AS ?count) WHERE { <http://dbpedia.org/resource/Elizabeth_II> <http://dbpedia.org/property/givenName>",3,,FALSE,,1,,1,,,,1,,,3
54,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q1055 (p:P6/ps:P6) ?v1.
  ?v1 wdt:P21 wd:Q6581072.
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Klaus_von_Dohnanyi> a ns1:Mayor ;     ns1:gender ""male"" .  <http://dbpedia.org/resource/Katharina_Fegebank> a ns1:Mayor ;     ns1:gender ""female"" .  <http://dbpedia.org/resource/Ole_von_Beust> a ns1:Mayor ;     ns1:gender ""male"" .",0,,FALSE,,1,,,1,,,1,,,3
55,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q794 (p:P35/ps:P35) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Iran> ns1:headOfState ?uri .  SELECT (COUNT(?uri) AS ?count) WHERE { <http://dbpedia.org/resource/Iran> ns1:headOfState ?uri . },2,,FALSE,,1,,,,,,1,,,2
